Market	Channel	Region	Category	SubCategory	Brand	Price_variable2	MCV.MS_Prvarsig_AIC	lastyr_avgprice	PriceElas.MS_Prvarsig_AIC	CSF	dukes.aioli	dukes.mayo	hellmanns.best.foods.aioli	hellmanns.best.foods.mayo	kraft.aioli	kraft.mayo	mccormick.aioli.aioli	miracle.whip.whipped.dressing	private.label.aioli	private.label.mayo	restofcategory	Revenue	Volume	MS_val
usa	target	all	spoonable	all	hellmanns best foods mayo	Segment	19.7670598367332	4.03945751959079	-1.3000406315254	4.89349367851148	0	0.772554927213113	0.336619667552153	0	1.12954568293254	0.932365177335438	1.26049660190403e-12	0	0	1.46910766019424	0.914331589332374	29811952.826002	7248887.3121528	52.6334770949629
usa	target	all	spoonable	all	kraft aioli	Competition	24.9253122568026	5.86980479380153	-0.326082345146524	4.24636135823862	0	0.103105599138028	0	0	0	4.13971489475317	0	0	0.330239981912782	0	3.28040039562363	2199139.8914006	381781.014647746	3.88261647193057
usa	target	all	spoonable	all	kraft aioli	Segment	25.1140866425346	5.86980479380153	-1.46851200097785	4.27852160757627	0	1.97122585752428	0	0	0	7.32290103945913	0	0	0.180456277826377	0	0	2199139.8914006	381781.014647746	3.88261647193057
usa	target	all	spoonable	all	kraft mayo	Competition	5.03525781475526	3.22225957139711	-7.45448245666539	1.56264810552555	0	1.52546677129402	0.000117565322799127	3.47709438338626	0.00126030555467911	0	0	0	0	0.0885568631019895	0	3809420.305676	1216295.799496	6.72559216681054
usa	target	all	spoonable	all	kraft mayo	OwnPrice	6.12940477379162	3.22225957139711	-4.08731352619121	1.90220701901245	0	0.922588542742156	0	3.55498788103584	0.00114233650883062	0	0	0	0	0.816100812031023	0	3809420.305676	1216295.799496	6.72559216681054
usa	target	all	spoonable	all	kraft mayo	Segment	5.25372037586163	3.22225957139711	-7.72462453734751	1.63044604553187	0	1.6725766513148	0	6.79317460922729	0	0	0	0	6.3840790027809e-26	1.48427342104093	1.13159886997007	3809420.305676	1216295.799496	6.72559216681054
usa	target	all	spoonable	all	mccormick aioli aioli	Competition	7.77299508929466	3.34160873682778	-4.13393769629306	2.32612364327059	0	0	0	5.04947349697498e-05	10.6051705764403	0	0	2.5983286146467e-14	0.176092984223326	0.124177195420875	0	9970.888892	2071.36670671	0.0176037629999122
usa	target	all	spoonable	all	mccormick aioli aioli	Segment	7.6288860831375	3.34160873682778	-4.2113074183301	2.28299800603815	0	0	2.66369158939709e-07	1.2689860306729e-17	2.13687477152525e-05	0	0	0	0.169711565642593	0	0	9970.888892	2071.36670671	0.0176037629999122
usa	target	all	spoonable	all	miracle whip whipped dressing	Competition	17.7540843153279	3.68285667744945	-1.2879228371944	4.82073723477706	0	0	0	0	0.852944250444151	0	0	0	0	0	0	3789620.578126	1009998.7380395	6.6906354327592
usa	target	all	spoonable	all	miracle whip whipped dressing	OwnPrice	9.07309494492855	3.68285667744945	-3.05173856891763	2.46360250739165	0	0	0.143784880695986	1.17252321232982	1.18348305074001	0	0	0	0	0.0978266514194977	0	3789620.578126	1009998.7380395	6.6906354327592
usa	target	all	spoonable	all	private label aioli	Competition	9.58576081589954	8.46982644572753	-0.328797202324393	1.1317541011404	0	0	0	38.9417616555974	0	0	0	0	0	0	0	76951.18293901	7985.866995866	0.135858537959247
usa	target	all	spoonable	all	private label mayo	Competition	5.12448977170352	2.16117335008604	-4.60177953289154	2.37116091196456	0	1.40671493854092	0	0.202563865985138	2.17410594089197e-18	0.00438508487745016	2.01329586743257e-32	0.00200987920184113	0.00524169472211523	0	0	4515071.78528242	2060218.65228535	7.97143108268647
usa	target	all	spoonable	all	private label mayo	Segment	4.78318248171736	2.16117335008604	-4.986386222562	2.21323406635888	0	1.75727265260482	0	1.23968219269347	2.48041752939915e-20	1.68990692724433e-21	8.44215125642757e-22	0.730162924359567	0.0362588117743121	0	0	4515071.78528242	2060218.65228535	7.97143108268647
usa	target	all	spoonable	all	restofcategory	Competition	32.6208450603632	7.21745413353723	-1.4153987030291	4.51971629563733	0	2.17583799376609	0	0	0	2.52971716084776	0	0	0.089932931313278	0	0	9848111.6578594	1474318.70118197	17.3869978393526
usa	walmart	all	spoonable	all	dukes aioli	Competition	13.5496586272552	3.11781633728302	-1.76248189141283	4.34588095046768	0	1.10467948471774e-12	0.0103225396534284	3.89680372275352	0	0.78478266916927	0	0	0	0.579983346081189	0.355786647410758	288187.629458	86279.5576548	0.0346767465049811
usa	walmart	all	spoonable	all	dukes aioli	OwnPrice	10.0552409324653	3.11781633728302	-2.50631864277153	3.22509084714971	0	7.15662618832543e-17	5.8244530861084e-07	3.92931212705474	0	7.46208257622477e-05	0	0	0	2.31235644160607	1.16103524311264e-07	288187.629458	86279.5576548	0.0346767465049811
usa	walmart	all	spoonable	all	dukes aioli	Segment	14.9825654521335	3.11781633728302	-1.54383201420723	4.80546761942683	0	1.41323801313831e-18	0.613747722972519	1.73698665997488e-11	0	1.03364098747264e-12	0	0	0	0	8.7478916845273e-12	288187.629458	86279.5576548	0.0346767465049811
usa	walmart	all	spoonable	all	dukes mayo	Competition	9.60351999578712	2.77777442318079	-2.83927920338707	3.45727137367413	0	0	0	0.415918314287979	0.430594942783461	0	0.0987322660167008	0	0	0	0.482123772876246	63276695.929605	22749870.2924347	7.61389358922316
usa	walmart	all	spoonable	all	dukes mayo	Segment	12.2232145471146	2.77777442318079	-1.47999515744901	4.40036255108072	0	0	0	2.07842157344528	0.981016205042667	0	0	0	0	0	1.76470570796431	63276695.929605	22749870.2924347	7.61389358922316
usa	walmart	all	spoonable	all	hellmanns best foods aioli	Competition	12.3863284316339	5.74292599495109	-4.5536447519566	2.15679750052906	0	0	0	0	0	4.36342734260989	0	0	0	0	10.4849987534708	2639519.00344	440060.418936	0.317605344648247
usa	walmart	all	spoonable	all	hellmanns best foods aioli	Segment	11.7749659850627	5.74292599495109	-4.81811195954722	2.05034262942178	0	0	0	0	0	0	2.03240454917942e-18	0	0	0	3.73015082088026	2639519.00344	440060.418936	0.317605344648247
usa	walmart	all	spoonable	all	hellmanns best foods mayo	Competition	16.1166733921899	3.45380553094739	-1.41932646307269	4.666352302635	0.117079923566105	1.70664689144975	0.00822618208268411	0	0	0.0219237658443025	0	0	0	1.00858696630056	0	308406809.5764	89503172.37846	37.1096593431309
usa	walmart	all	spoonable	all	hellmanns best foods mayo	Segment	9.39755407895001	3.45380553094739	-2.87065086270827	2.72092739291324	0.0755205278296839	1.16044153329291	0	0	0.0144314171582368	0.815774609925316	0	0	0	0.702359232216747	0	308406809.5764	89503172.37846	37.1096593431309
usa	walmart	all	spoonable	all	kraft aioli	Competition	36.8111588366935	5.80961637581492	-0.874779273293834	6.3362460540314	0	0	0.145773981654385	0	0	0	0	0	0	0	0	7915688.1348653	1430442.559861	0.952470830831463
usa	walmart	all	spoonable	all	kraft mayo	Competition	5.3999297885897	2.8992972750687	-5.61893498121693	1.86249607276361	0.100812852230873	0.00654078564442542	0	0.231438522102241	0	0	0.840284627717639	0.00995127797169043	0	0	1.40916561261557	108039815.8749	37318958.57027	13.0001045311515
usa	walmart	all	spoonable	all	kraft mayo	OwnPrice	7.74998225180223	2.8992972750687	-2.33998801631746	2.67305540499244	0.097734171218626	0.680741145419099	0	1.20913568586197	0	0	0.772716963786271	1.75802916878156e-06	0	0	2.20753508718033	108039815.8749	37318958.57027	13.0001045311515
usa	walmart	all	spoonable	all	kraft mayo	Segment	4.69101333597486	2.8992972750687	-7.46826094295442	1.61798287340635	0.0998601330743043	1.62628146103226e-10	0	2.85892140189871e-16	0	0	0.887660230220629	3.95825927216785e-05	0	0	1.86881184119072	108039815.8749	37318958.57027	13.0001045311515
usa	walmart	all	spoonable	all	mccormick aioli aioli	Competition	151.936121823616	4.09397560149452	-0.14094197710231	37.1121219599235	0	0	0	0	0	1.58533489074007	0	0	0	0	1.12282933996236	45018195.56005	11032959.335495	5.41690341977372
usa	walmart	all	spoonable	all	miracle whip whipped dressing	OwnPrice	10.4897560734087	3.35375293573251	-2.06806244041047	3.12776649753944	0.126242317025362	0	0	0	1.02765730463159	0.266603407961575	0	0	0	1.00077820825461	0	119791689.65034	35698999.883701	14.4141719865655
usa	walmart	all	spoonable	all	private label mayo	Competition	4.37472013261436	1.94442736440046	-4.31217708421106	2.24987583116186	0	0	0	0	1.12848950436555e-30	2.12019425434131	2.33854990344852	0	0	0	0.644301787022077	108148150.6595	55337657.27172	13.0131401283779
usa	walmart	all	spoonable	all	restofcategory	Competition	8.35511127845163	3.19187484590423	-3.19305575923638	2.61761869804288	0	1.12328616390493	2.24202635311822e-19	1.31728538473438	1.02299969414088	0.571882929457811	0	0.406037846669006	0	0.416015094692197	0	67544072.2052	20704412.382238	8.12737407979274
usa	walmart	all	spoonable	all	restofcategory	OwnPrice	15.5129922901112	3.19187484590423	-1.07155338320197	4.86015055070761	0	1.17335245672623	0	2.1161201844124	0	0.778611964924156	0	1.11892346687202	0	1.07343508302054e-15	0	67544072.2052	20704412.382238	8.12737407979274
usa	walmart	all	spoonable	all	restofcategory	Segment	6.2344736669038	3.19187484590423	-4.98156607066834	1.95323249434538	0	1.28269191819013	0.0097026062776042	1.99934396760212	1.45286603217993	0.945656508300368	0	1.56314591421639	0	0.964023045377052	0	67544072.2052	20704412.382238	8.12737407979274
