,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Time,Sector,Sub Sector,Size Group,MAJOR BRAND_Sauces2 [ MAJOR BRAND_Sauces2 ],Product,Geography,Value Sales,Unit Sales,Volume Sales,Average Weekly ACV Distribution
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 470 GR 5000169074299,Waitrose GB,1483.4,1348,633.5600000000002,90.01684534407539
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 495 GR 5000129316575,The Cooperative Group GB,2211.75,1475,730.1250000000001,33.93929245703633
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL VALUE STANDARD BROWN SAUCE REGULAR 1 CT 450 GR 00144353,Sainsburys GB,3377.16,6254,2814.3000000000006,84.21163040795628
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL VALUE STANDARD BROWN SAUCE REGULAR 1 CT 460 GR 5057172338092,Asda GB,3346.14,7439,3421.94,76.20359946351869
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 400 GR 5000111046763,Iceland GB,1955,1955,782.0000000000001,54.27354215632424
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 400 GR 5000111046763,Morrisons GB,13483.68,9282,3712.7999999999993,99.3850077577125
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 400 GR 5000111046763,Sainsburys GB,7221.35,4986,1994.4000000000008,83.87432093327782
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 400 GR 5000111046763,Tesco GB,24115.21,19295,7717.999999999999,74.96329422936599
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 425 GR 5000111018005,Sainsburys GB,78,32,13.600000000000001,0.7940727952007591
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 425 GR 5000111018005,The Cooperative Group GB,29.45,32,13.600000000000001,0.321380057289231
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Asda GB,29393.39,12899,5804.550000000002,96.87521345005315
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Iceland GB,14468.22,7233,3254.849999999999,88.85134099553375
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Morrisons GB,22505.01,10201,4590.450000000002,99.54599149739111
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Sainsburys GB,30058.99,14386,6473.700000000001,90.92465503423627
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Tesco GB,38543.53,18513,8330.850000000002,68.28425170751616
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,The Cooperative Group GB,27695.05,13206,5942.699999999998,96.47059826616531
