Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,Date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,PrepDate,ProjCode
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,May,21,2024-05-25 00:00:00,Brand,61.92,15.2,38,1.1082021081717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,November,44,2024-11-02 00:00:00,Brand,1.3,0.4,1,0.05744058380647427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,October,41,2024-10-12 00:00:00,Brand,4.29,1.2,3,0.08757338458210746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,October,42,2024-10-19 00:00:00,Brand,2.65,0.8,2,0.08507732755433234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,October,43,2024-10-26 00:00:00,Brand,2.6,0.8,2,0.05738361153315378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,September,37,2024-09-14 00:00:00,Brand,3.69,3.600000000000001,9,0.04891842655462323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2025,January,1,2025-01-04 00:00:00,Brand,1.65,0.4,1,0.07929728478998746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2025,January,2,2025-01-11 00:00:00,Brand,1.65,0.4,1,0.0792070077522541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,April,14,2022-04-02 00:00:00,Brand,2166.45,442.7399999999999,942,27.9208795211753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,April,15,2022-04-09 00:00:00,Brand,2212.73,452.1400000000002,962,28.27652847349726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,April,16,2022-04-16 00:00:00,Brand,2160.2,441.8,940,26.12902288783013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,April,17,2022-04-23 00:00:00,Brand,1879.75,384.4599999999999,818,25.74781000889809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,April,18,2022-04-30 00:00:00,Brand,2122,433.8099999999999,923,27.49495213990607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,August,32,2022-08-06 00:00:00,Brand,2005.65,339.8099999999999,723,23.54987104852957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,August,33,2022-08-13 00:00:00,Brand,1804.7,302.68,644,22.51271757034471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,August,34,2022-08-20 00:00:00,Brand,2017.75,338.3999999999999,720,24.43790987260368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,August,35,2022-08-27 00:00:00,Brand,2104.95,356.26,758,24.51559913172012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,December,49,2022-12-03 00:00:00,Brand,991.08,211.9699999999999,451,13.27246664471901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,December,50,2022-12-10 00:00:00,Brand,941.95,172.4899999999999,367,12.15567878803198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,December,51,2022-12-17 00:00:00,Brand,1051.65,180.9499999999998,385,12.25192916510676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,December,52,2022-12-24 00:00:00,Brand,1451.3,243.4599999999999,518,13.08741257317164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,December,53,2022-12-31 00:00:00,Brand,683.53,98.69999999999995,210,8.913325821607943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,July,27,2022-07-02 00:00:00,Brand,2047.05,343.5699999999999,731,24.90125705972562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
